"Date","Surname","Forenames","DOB","DOD","VIAF","Sex","Orientation","Orientation URL","Indigenous affilication","Indigenous affilication URL","RSNZ bio",,"Wikipedia name"
1997,"Abraham","Wickliffe Carson",,,73926541,"male",,,,,,,
2002,"Abrahamson","John",,,56276087,"male",,,,,,,
1959,"Adams","William Edgar",1908,1973,53156760,"male",,,,,,"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1271579/ ",
1928,"Allan","Harry Howard",1882,1957,40683664,"male",,,,,,,"Harry Howard Barton Allan"
1940,"Allan","Robin Sutcliffe",1900,1966,6993339,"male",,,,,,,"Robin Sutcliffe Allan"
1961,"Allen","Kenneth Radway",1911,2008,94428764,"male",,,,,"http://www.royalsociety.org.nz/publications/reports/yearbooks/year2008/obituaries/radway-allen/","https://www.niwa.co.nz/publications/wa/vol16-no2-june-2008/news-fisheries-scientist-k-radway-allen-1911-2008-time-to-wet-the-whistle-researching-the-wa","Kenneth Radway Allen"
1923,"Andersen","Johannes Carl",1873,1962,54246837,"male",,,,,,"http://www.teara.govt.nz/en/biographies/3a15/andersen-johannes-carl","Johannes Carl Andersen"
1991,"Anderson","Atholl John",1943,,54475,"male",,,,,,"http://press.anu.edu.au/wp-content/uploads/2011/03/ch0118.pdf",
2013,"Anderson","Marti Jane",,,61241486,"female",,,,,,,
1932,"Archey","Gilbert",1890,1974,,,,,,,,,
1986,"Arrillaga","Josu",1934,2009,,,,,,,,,
1939,"Askew","Henry Oscar",1899,1977,,,,,,,,,
1999,"Astley","Richard Jeremy",,,,,,,,,,,
"Original","Aston","Bernard Cracroft",1871,1951,,,,,,,,,
1969,"Atkinson","John Dunstan",1909,1990,,,,,,,,,
1996,"Austin","Geoffrey Leonard",,,,,,,,,,,
1996,"Baggaley","William Jack",,,,,,,,,,,
1991,"Baguley","Bruce Charles",,,,,,,,,,,
1969,"Bailey","Raymond Wellesley",1923,2004,,,,,,,,,
1987,"Baker","Edward Neill",,,,,,,,,,,
2009,"Baker","Maureen",,,,"female",,,,,,,
2000,"Ballagh","Robert John",,,,,,,,,,,
2012,"Ballantyne","Anthony John",,,,,,,,,,,
2009,"Bandyopadhyay","Sekhar",,,,,,,,,,,
1964,"Barber","Norman Frederick",1909,1992,,,,,,,,,
1996,"Barbezat","Gilbert Olivier",,,,,,,,,,,
1999,"Barnes","Thomas Heinrich",,,,,,,,,,,
1947,"Barnett","Miles Aylmer Fulton",1901,1979,,,,,,,,,
1961,"Barnicoat","Cuthbert Richmond",1902,1980,,,,,,,,,
1970,"Barratt-Boyes","Brian",1924,2006,,,,,,,,,
1993,"Barrett","Peter John",,,,,,,,,,,
2009,"Barsby","John Anthony",,,,,,,,,,,
1928,"Bartrum","John Arthur",1885,1949,,,,,,,,,
1996,"Bass","James Johnston",,,,,,,,,,,
1953,"Bastings","Lyndon",1893,1968,,,,,,,,,
1976,"Bates","Richard Heaton Tunstall",1929,1990,,,,,,,,,
1962,"Batham","Elizabeth Joan",1917,1974,,"female",,,,,,,
1979,"Batt","Richard Dean",1923,1994,,,,,,,,,
2012,"Bauer","Laurence James",,,,,,,,,,,
1961,"Baylis","Geoffrey Thomas Sandford",1913,2003,,,,,,,,,
